Name,Season,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl
Nikola Jokic,2017-18,DEN,75,73,504,1010,0.499,111,280,0.396,393,730,0.538,266,313,0.85,195,608,803,458,90,61,210,212,1385,10
Nikola Jokic,2018-19,DEN,80,80,616,1206,0.511,83,270,0.307,533,936,0.569,289,352,0.821,228,637,865,580,108,55,248,228,1604,12
Nikola Jokic,2019-20,DEN,73,73,565,1071,0.528,80,255,0.314,485,816,0.594,246,301,0.817,166,545,711,512,85,44,226,222,1456,13
Nikola Jokic,2020-21,DEN,72,72,732,1293,0.566,92,237,0.388,640,1056,0.606,342,394,0.868,205,575,780,599,95,48,222,192,1898,16
Nikola Jokic,2021-22,DEN,74,74,764,1311,0.583,97,288,0.337,667,1023,0.652,379,468,0.81,206,813,1019,584,109,63,281,191,2004,19
Nikola Jokic,2022-23,DEN,69,69,646,1022,0.632,57,149,0.383,589,873,0.675,341,415,0.822,167,650,817,678,87,47,247,174,1690,29
Devin Booker,2015-16,PHO,76,51,367,867,0.423,99,289,0.343,268,578,0.464,215,256,0.84,27,160,187,200,44,20,160,225,1048,0
Devin Booker,2016-17,PHO,78,78,606,1431,0.423,147,405,0.363,459,1026,0.447,367,441,0.832,46,203,249,268,72,21,241,242,1726,0
Devin Booker,2017-18,PHO,54,54,455,1054,0.432,147,384,0.383,308,670,0.46,289,329,0.878,26,218,244,253,47,14,194,168,1346,0
Devin Booker,2018-19,PHO,64,64,586,1255,0.467,135,414,0.326,451,841,0.536,393,454,0.866,39,226,265,433,56,13,264,200,1700,0
Devin Booker,2019-20,PHO,70,70,627,1283,0.489,141,398,0.354,486,885,0.549,468,509,0.919,29,268,297,456,49,18,264,213,1863,0
Devin Booker,2020-21,PHO,67,67,623,1287,0.484,126,371,0.34,497,916,0.543,340,392,0.867,34,247,281,289,53,16,207,181,1712,0
Devin Booker,2021-22,PHO,68,68,662,1421,0.466,183,478,0.383,479,943,0.508,315,363,0.868,45,297,342,329,77,26,162,180,1822,0
Devin Booker,2022-23,PHO,53,53,527,1067,0.494,111,316,0.351,416,751,0.554,306,358,0.855,46,194,240,293,51,18,145,159,1471,0
